"id","created_at","rows","cols","starting_color","status","winner","draw","original_sequence","canonical_key","source_filename","confiance"
49393,"2026-03-24 19:52:03.53731+01",9,9,"R","FINISHED","R",False,"5,5,3,6,5,5,6,4,4,5,4,4,4,5,5,4,4,8,7,8,5,4,4,5,6,6,2,2,8,1,9,8,6,6,6,8,9,6,2,1,1,8,8,6,1,1,9,9,2,2,9,8,1,2,1,8,9,1,1,9,9,9,2,2,2,3,3","5,5,3,6,5,5,6,4,4,5,4,4,4,5,5,4,4,8,7,8,5,4,4,5,6,6,2,2,8,1,9,8,6,6,6,8,9,6,2,1,1,8,8,6,1,1,9,9,2,2,9,8,1,2,1,8,9,1,1,9,9,9,2,2,2,3,3","hybrid_minimax_9x9_1774378323497935700_22813",1
49392,"2026-03-24 19:52:03.478461+01",9,9,"R","FINISHED","R",False,"6,6,6,5,4,4,5,6,5,6,4,5,4,5,3,4,4,5,5,4,1,2,2,2,2,8,2,7,2,2,4,9,6,6,6,6,5,9,8,4,5,1,8,1,8,8,8,8,8,2,9,9,9,9,1,8,1,9,1,1,9,9,2,1,1,3,3","4,4,4,5,6,6,5,4,5,4,6,5,6,5,7,6,6,5,5,6,9,8,8,8,8,2,8,3,8,8,6,1,4,4,4,4,5,1,2,6,5,9,2,9,2,2,2,2,2,8,1,1,1,1,9,2,9,1,9,9,1,1,8,9,9,7,7","hybrid_minimax_9x9_1774378323314588200_22812",1
49391,"2026-03-24 19:52:03.291902+01",9,9,"R","FINISHED","R",False,"5,6,6,6,4,4,4,6,4,6,6,4,3,2,6,2,3,2,2,4,4,6,2,2,2,4,4,2,6,8,7,8,8,7,7,8,8,8,8,8,8,2,9,9,1,7,7,7,7,7,7,9,9,9,1,1,5,5,5,5,5,5,5,5,1,1,1,1,1,1,3,3,3,3,3,3,3,9,9","5,4,4,4,6,6,6,4,6,4,4,6,7,8,4,8,7,8,8,6,6,4,8,8,8,6,6,8,4,2,3,2,2,3,3,2,2,2,2,2,2,8,1,1,9,3,3,3,3,3,3,1,1,1,9,9,5,5,5,5,5,5,5,5,9,9,9,9,9,9,7,7,7,7,7,7,7,1,1","hybrid_minimax_9x9_1774378323253474400_22811",1
49390,"2026-03-24 19:52:03.23647+01",9,9,"R","FINISHED","Y",False,"5,3,5,4,5,5,5,4,6,5,4,4,6,6,4,8,6,6,8,4,8,4,6,5,4,8,3,2,1,6,1,1,3,3,1,5,5,6,3,9,2,2,2,2,3,3","5,3,5,4,5,5,5,4,6,5,4,4,6,6,4,8,6,6,8,4,8,4,6,5,4,8,3,2,1,6,1,1,3,3,1,5,5,6,3,9,2,2,2,2,3,3","hybrid_minimax_9x9_1774378323198310800_22810",1
49389,"2026-03-24 19:52:03.183847+01",9,9,"R","FINISHED","R",False,"6,4,6,6,6,4,4,5,5,5,5,2,3,4,6,3,5,2,4,2,2,4,5,5,3,3,3","4,6,4,4,4,6,6,5,5,5,5,8,7,6,4,7,5,8,6,8,8,6,5,5,7,7,7","hybrid_minimax_9x9_1774378323144651700_22809",1
49388,"2026-03-24 19:52:03.087574+01",9,9,"R","FINISHED","R",False,"5,5,6,5,5,6,5,6,4,3,7","5,5,4,5,5,4,5,4,6,7,3","hybrid_minimax_9x9_1774378322932678500_22808",1
49387,"2026-03-24 19:52:02.91251+01",9,9,"R","FINISHED","R",False,"3,5,4,6,4,5,5,4,6,4,4,5,3,3,3,8,7,7,6,6,5,6,1,2,3,1,4,5,4,4,5,5,1,8,9,8,8,6,6,6,1,5,1,1,9,9,9,8,8,1,8,1,1,4,6,8,9,7,7,8,9,9,9,7,7,7,7","3,5,4,6,4,5,5,4,6,4,4,5,3,3,3,8,7,7,6,6,5,6,1,2,3,1,4,5,4,4,5,5,1,8,9,8,8,6,6,6,1,5,1,1,9,9,9,8,8,1,8,1,1,4,6,8,9,7,7,8,9,9,9,7,7,7,7","hybrid_minimax_9x9_1774378322874223800_22807",1
49386,"2026-03-24 19:52:02.850198+01",9,9,"R","FINISHED","Y",False,"7,4,7,5,4,5,4,5,5,4,3,5,4,3,3,7,5,3,3,4,8,3,3,7,4,5,3,8,5,4,7,7,9,6,4,8,9,2,5,1,2,3,1,7,1,2,1,1,7,2,9,9,7,9,2,2,1,2,1,9,9,1,1,8,6,6","3,6,3,5,6,5,6,5,5,6,7,5,6,7,7,3,5,7,7,6,2,7,7,3,6,5,7,2,5,6,3,3,1,4,6,2,1,8,5,9,8,7,9,3,9,8,9,9,3,8,1,1,3,1,8,8,9,8,9,1,1,9,9,2,4,4","hybrid_minimax_9x9_1774378322696160100_22806",1
49385,"2026-03-24 19:52:02.686271+01",9,9,"R","FINISHED","R",False,"5,5,7,3,4,6,4,6,4,4,5,6,6,5,7,4,7,7,7","5,5,3,7,6,4,6,4,6,6,5,4,4,5,3,6,3,3,3","hybrid_minimax_9x9_1774378322648025300_22805",1
49384,"2026-03-24 19:52:02.628555+01",9,9,"R","FINISHED","R",False,"4,6,5,5,4,4,6,5,5,4,6,4,4,8,6,6,5,5,4,8,8,6,6,5,4,4,8,5,5,8,8,6,9,3,9,9,9,9,3,3,3,3,3,3,1,1,1,1,1,1,3,8,1,1,8,6,9,9,9,9,8,1,3,2,7,2,2,2,7,7,7","4,6,5,5,4,4,6,5,5,4,6,4,4,8,6,6,5,5,4,8,8,6,6,5,4,4,8,5,5,8,8,6,9,3,9,9,9,9,3,3,3,3,3,3,1,1,1,1,1,1,3,8,1,1,8,6,9,9,9,9,8,1,3,2,7,2,2,2,7,7,7","hybrid_minimax_9x9_1774378322590318300_22804",1
